GUID,Material Name,Categories,Descriptive Properties - Physical Properties,Descriptive Properties - Density,Descriptive Properties - Chemical Properties,Descriptive Properties - Mechanical Properties,Descriptive Properties - Modulus of Elasticity,Descriptive Properties - Poissons Ratio,Descriptive Properties - Shear Modulus,Descriptive Properties - Electrical Properties,Descriptive Properties - Volume Resistivity,Descriptive Properties - Dielectric Constant,Descriptive Properties - Dielectric Loss Index,Descriptive Properties - Thermal Properties,"Descriptive Properties - CTE, linear",Descriptive Properties - Thermal Conductivity,"Descriptive Properties - Transformation Temperature, Tg",Descriptive Properties - Softening Point,Descriptive Properties - Working Point,Descriptive Properties - Annealing Point,Descriptive Properties - Optical Properties,Descriptive Properties - Refractive Index,Descriptive Properties - UV Transmittance,Descriptive Properties - Hydrolytic Resistance,Descriptive Properties - Stress-optical Coefficient K (10-6mm2N-1),Descriptive Properties - tk100(°C),"Descriptive Properties - Maximum Service Temperature, Air",Descriptive Properties - CaO+MgO,Descriptive Properties - SiO2,Descriptive Properties - Classification Temperature (°C)
acbccfd6b1c84d0bbda0a23d8e99677a,Schunk FH44Z(H)5 Carbon Graphite Resin Impregnated,Carbon;Graphite,Metric,,,,,50.0MPa,200MPa,,,,Metric,4.50-°C@Temperature 20.0 - 200 °C,,13.0W/m-K,,,,,,,,,,,14.0GPa,,,
14822ca2477d4ad3adac4cd69be9f05d,Chosun Refractories ZNS Plate Brick,Ceramic;Oxide;Zirconium Oxide,Metric,,,,,,<=147MPa,,,,Metric,8.00-10.0-°C@Temperature 1000 °C,,,,,,,,,,,,,,,,
3bfa1493b78b4041b13e112dab03e659,AISI 1095 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;High Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd20ed8cd00448799133b6a9340495be,Schott Glass 8250 Borosilicate Glass,Ceramic;Glass,Metric,2.28g/cc@Temperature 25.0 °C,,,,,,0.21,,26.4GPa,Metric,5.00-°C@Temperature 20.0 - 300 °C,,1.20W/m-K@Temperature 90.0 °C,,,,,,,,English,4,,64.0GPa,,720°C,500°C
5c60d1a9aed84fb795e153dd4a111ccf,Chosun Refractories CUN-50S Nozzle Brick,Ceramic;Oxide;Aluminum Oxide,Metric,,,,,,<=78.5MPa,,,,Metric,4.00-5.00-°C@Temperature 1000 °C,,,,,,,,,,,,,,,,
5f19d5c357fd412a88da05c2c387aa5e,Imerys 325FF™ Ground Mica,Ceramic;Oxide;Aluminum Oxide;Silicon Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ae0f6a22a4641e3b91018cd240b5112,Talc,Ceramic,Metric,,,,,,,,,,,,,,,White to green,,,,,2.70-2.80g/cc,,,,,,,
7e4580b297f54b9a8eb47e8bee212050,AISI 4718H Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Low Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e1763dd708a41c2a6375ce2c2121b19,Möller Medical TafSkin 109 L NanoCoating,Ceramic;Glass;Glass Ceramic;Other Engineering Material;Ceramic/Metallic Coating,Metric,,,,,,,,,,Metric,,,,300°C,,,,,,,,,,,,,
c78f2ddba0884916a39426c8522a1bc2,Poraver 4-8 mm Expanded Glass,Ceramic;Glass,Metric,0.256-0.343g/cc,5.0 %,,,,1.20MPa,,,,Metric,,,0.0700W/m-K,,creamy white,,,,,,,,,,,700°C,
b6d9edb4927f463c894cd2cc0cf27de8,AISI 4340 Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Medium Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4ca8b68957b45068ce5f35938ac358b,MarkeTech Repton EXP 386 Aluminum Titanate,Ceramic;Oxide;Aluminum Oxide,Metric,3.14g/cc,,,,>=25.0MPa,,,,,Metric,0.000-°C@Temperature 300 °C,,,,,,,,,,,,,,,,
e9d5417cf4dc40b3856595ffca263331,Morgan Advanced Ceramics H-7 Ceramic Core Material Silica,Ceramic;Oxide;Silicon Oxide,Metric,2.20g/cc,>= 18 %,,,,,,,,Metric,1.00-°C@Temperature 25.0 - 1000 °C,,,,,,,,,,,,,,,,
f4354f625f2e48bfa13da233906ec8da,Potters Industries Spheriglass® 1922 Solid Glass Spheres,Ceramic;Glass;Oxide;Silicon Oxide;Other Engineering Material;Additive/Filler for Polymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c7b600e2cb048178e6e7e19ca67f7cc,Anderman Ceramics EZZ 66P Zircon,Ceramic;Oxide;Zirconium Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b9ec2a58ba0479db16f8eaae82d97fd,AISI 4620 Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Low Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82125e93d5c147bdbb30f2e,Chosun Refractories FM Blast Furnace Runner Refractory,Ceramic;Oxide;Aluminum Oxide,Metric,,,,,,"24.5MPa@Treatment Temp. 110 °C,Time 86400 sec",,,,Metric,,,,,,,,,,,,,,,,,
7babb63ef6054b4b8511ac1726f,CeramTec 975 Alumina,Ceramic;Oxide;Aluminum Oxide,Metric,3.90g/cc,0.00 %,172MPa,380GPa,310MPa,2400MPa,0.30,4.00MPa-m½,131GPa,Metric,7.30-°C,0.900J/g-°C@Temperature 100 - 200 °C,35.4W/m-K,1530°C,White,225,,,,,,,,,,,
4e1227d7288f4a79ae9956575203d82d,Schott KZFSN5 Glass,Ceramic;Glass,Metric,3.46g/cc,,,,,,0.275,,25.0GPa,Metric,4.50-°C@Temperature -30.0 - 70.0 °C,,,,,,,,,,English,52.3,,65.0GPa,,,479°C
a8c59a7c2d7c480781d5fc8df4136378,H.C. Starck Amperit® 551.059 Tungsten Carbide - Chromium Carbide - Nickel 70-20-7 (W-CrC-Ni),Ceramic;Carbide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09436237bf3c4067a2bb210cb02c31b5,Bismuth,Metal;Nonferrous Metal;Bismuth Alloy;Pure Element,Metric,9.80g/cc,,,,,,0.33,,11.9GPa,Metric,13.3-°C@Temperature 20.0 - 100 °C,0.122J/g-°C@Temperature 25.0 °C,10.0W/m-K,,,,,,,,English,,,31.7GPa,,,
501f3c56cb744d2cbade5ed7615032a1,Aremco AREMCOLOX™ 502-1400 (Bisque-fired) Machinable Alumina,Ceramic;Machinable Ceramic;Oxide;Aluminum Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdf461b1b4f2443980839c2c250190ad,Vibrantz Technologies EG 0225 Specialty Glass,Ceramic;Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520129ffde3a40009c02d1daf714b073,Schott Glass 8660 Borosilicate Glass,Ceramic;Glass,Metric,2.44g/cc@Temperature 25.0 °C,,,,,,,,,Metric,4.10-°C@Temperature 20.0 - 300 °C,,,,,,,,,,English,4,,,,830°C,
de63472157a042298529b2e4a5090369,Schott N-SF5 Glass,Ceramic;Glass,Metric,2.86g/cc,,,,,,0.237,,35.0GPa,Metric,7.90-°C@Temperature -30.0 - 70.0 °C,0.770J/g-°C,1.00W/m-K,,,,,,,,English,1.0,,87.0GPa,,693°C,576°C
f083cbd02c964f598a77bcfb0ee5e7d1,Morgan Advanced Ceramics Sintox ™ CL Mac-A986R Aluminum Oxide Ceramic,Ceramic;Oxide;Aluminum Oxide,Metric,,,,,410MPa,2000MPa,0.25,3.50MPa-m½,150GPa,Metric,8.00-°C@Temperature 20.0 - 800 °C,,25.0W/m-K,,white,,,,,,,,,380GPa,,,
7749858a9b724617afaff6e3c4c9e856,CeramTec CeramCool® Alunit® Aluminum Nitride,Ceramic;Nitride,Metric,3.33g/cc,0.00 %,,,360MPa,,,,,Metric,4.70-°C@Temperature 20.0 - 300 °C,0.738J/g-°C,180W/m-K@Temperature 20.0 - 100 °C,,Translucent Medium Gray,,,,,,,,,320GPa,,,
668d52c4e24f4bcfa168dcd57ad35b7c,Imerys TIMREX® SFG10 Primary Synthetic Graphite,Carbon;Graphite;Other Engineering Material;Additive/Filler for Polymer,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,,
914e74d7e9c04f9ba316321a89826ae5,Sapco 99.7% Aluminum Oxide,Ceramic;Oxide;Aluminum Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b4a866e439e41b2b633a0d7db70f147,Aremco Corr-Paint™ CP2010 High Temperature Protective Coating Urethane,Ceramic;Other Engineering Material;Ceramic/Metallic Coating,Metric,,,,,,,,,,Metric,,,,204°C,Aluminum,,,,,1.08g/cc,,,,,,,
647e32631206427d94fdcdc27c63cfa2,Vibrantz Technologies EG 2778 Thick Film Glass,Ceramic;Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca1d4be8c6874904a3c8f2fb9da55c47,AISI E4340 Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Medium Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ce161916df04b499e39d363a7dfc71b,Hexcel® HexForce® RGP280-5H Carbon Fabric,Carbon;Carbon Fiber/Carbon Fibre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12b2c898b4d84e09b237614c8dc8af,H.C. Starck Grade F 15 Boron Nitride,Ceramic;Nitride,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d4e93e9327542baaa8b84f819c769a4,AISI 4419H Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Low Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef15dd86dcd6421ca6097ce3ec938331,Chosun Refractories PT-165 Plastic Refractory,Ceramic;Oxide;Silicon Oxide,,,,,,,"4.90-9.81MPa@Treatment Temp. 110 °C,Time 86400 sec",,,,Metric,,,0.97705W/m-K@Temperature 500 °C,1650°C,,,,,,,,,,,,,
ddcb0b41620a495db8897d7fdf98dfe1,Ohara S-LAH63Q Optical Glass,Ceramic;Glass;Optical,Metric,,,,,,,0.30,,,Metric,7.90-°C@Temperature -30.0 - 70.0 °C,,0.738W/m-K@Temperature 35.0 °C,,,,,,,4.45g/cc,English,51.2,580@Load 0.220 lb,102.6GPa,121,732°C,654°C
1f1f70332e8240eda1f9d418378233b2,Materion UOX Beryllium Oxide Powder,Metal;Nonferrous Metal;Refractory Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850f16e8977046afbc94e0c48b8f1957,AISI 1050 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;Medium Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13c2a9fe357c4148894329818b61f38d,Chosun Refractories MMCT-95 Special Castable,Ceramic;Oxide;Aluminum Oxide,,,,,,,"39.2MPa@Treatment Temp. 110 °C,Time 86400 sec",,,,Metric,,,,1800°C,,,,,,,,,,,,,
e3285b7bd094457293471c384bd5b969,CoorsTek CRB-400 Antimony-Impregnated Carbon Graphite,Carbon;Graphite,Metric,2.30g/cc,,,,76.0MPa,207MPa,,,,Metric,4.86-°C,,10.0W/m-K,371°C,,,,,,,,,,21.4GPa,,,
8aea9ae8d9e34ce2bf863be583b61e51,Silberline Sparkle Silvet® 960-20-J,Other Engineering Material;Additive/Filler for Polymer,Metric,,,,,,,,,,,,,,,,,,,,2.07g/cc,,,,,,,
9d8edc30a56440fb9a0ae73ec3190ec1,H.C. Starck Amperit® 742.068 Aluminum Oxide-Titanium Oxide 97-3 (Al2O3-TiO2),Ceramic;Oxide;Aluminum Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
